ADDACC,Add Access Code,アクセスコードを追加する
ADDAJE,Add Autostart Job Entry,自動開始ジョブ項目を追加する
ADDALRACNE,Add Alert Action Entry,アラート処置項目を追加する
ADDALRD,Add Alert Description,アラート記述を追加する
ADDALRSLTE,Add Alert Selection Entry,アラート選択項目を追加する
ADDASPCPYD,Add ASP Copy Description,ASPコピー記述を追加する
ADDAUTLE,Add Authorization List Entry,権限リスト項目を追加する
ADDBKP,Add Breakpoint,ブレークポイントを追加する
ADDBNDDIRE,Add Binding Directory Entry,バインド・ディレクトリー項目を追加する
ADDCADMRE,Add Cluster Administrative Domain Managed Resource Entry,クラスター管理ドメイン管理リソース項目を追加する
ADDCADNODE,Add Cluster Administrative Domain Node Entry,クラスター管理ドメイン・ノード項目を追加する
ADDCFGLE,Add Configuration List Entries,構成リスト項目を追加する
ADDCKMKSFE,Add Crytographic Key Management Keystore File Entry,暗号鍵管理キーストア・ファイル項目を追加する
ADDCLUMON,Add Cluster Monitor,クラスター・モニターを追加する
ADDCLUNODE,Add Cluster Node Entry,クラスター・ノード項目を追加する
ADDCMNE,Add Communications Entry,通信項目を追加する
ADDCOMSNMP,Add Community for SNMP,SNMPコミュニティーを追加する
ADDCRGDEVE,Add Cluster Resource Group Device Entry,CRG装置項目を追加する
ADDCRGNODE,Add Cluster Resource Group Node Entry,CRGノード項目を追加する
ADDDEVDMNE,Add Device Domain Entry,装置ドメイン項目を追加する
ADDDIRE,Add Directory Entry,ディレクトリー項目を追加する
ADDDIRINST,Add Directory Server Instance,ディレクトリー・サーバー・インスタンスを追加する
ADDDIRSHD,Add Directory Shadow System,ディレクトリー・シャドー・システムを追加する
ADDDLOAUT,Add Document Library Object Authority,文書ライブラリー・オブジェクト権限を追加する
ADDDNSSIG,Add Domain Name System Signature,DNS署名を追加する
ADDDOCOND,Add Document to OnDemand,OnDemandに文書を追加する
ADDDPRREG,Add DataPropagator Registration,DataPropagator登録を追加する
ADDDPRSUB,Add DataPropagator Subscription,DataPropagatorサブスクリプションを追加する
ADDDPRSUBM,Add DataPropagator Subscription Member,DataPropagatorサブスクリプション・メンバーを追加する
ADDDSTLE,Add Distribution List Entry,配布リスト項目を追加する
ADDDSTQ,Add Distribution Queue,配布待ち行列を追加する
ADDDSTRTE,Add Distribution Route,配布経路を追加する
ADDDSTSYSN,Add Secondary System Name,2次システム名を追加する
ADDDTADFN,Add Data Definition,データ定義を追加する
ADDDWDFN,Add Disk Watcher Definition,ディスク監視機能定義を追加する
ADDEMLCFGE,Add Configuration Entry,構成項目を追加する
ADDENVVAR,Add Environment Variable,環境変数を追加する
ADDEWCBCDE,Add Wireless Controller Barcode Entry,無線コントローラー・バーコード項目を追加する
ADDEWCM,Add Wireless Controller Member,無線コントローラー・メンバーを追加する
ADDEWCPTCE,Add Wireless Controller PTC Entry,無線コントローラーPTC項目を追加する
ADDEWLM,Add Wireless Line Member,無線回線メンバーを追加する
ADDEXITPGM,Add Exit Program,出口プログラムを追加する
ADDFNTTBLE,Add Font Table Entry,フォント・テーブル項目を追加する
ADDHACFGD,Add HA Configuration Description,HA構成記述を追加する
ADDHAPCY,Add High Availability Policy,高可用性ポリシーを追加する
ADDHDBDLFM,Add Host Database to DataLink File Manager,ホスト・データベースをDataLinkファイル・マネージャーに追加する
